title,funder,funder_type,total_assets,total_giving,avg_grant_amount,median_grant_amount,ein,address,phone,website,contacts,notes,status,next_task,deadline,amount,mission_keywords,program_area_keywords,geographic_focus_keywords,funding_type_keywords,exclusion_keywords,keyword_enriched_by,keyword_enriched_at
URSTADT CONSERVATION FOUNDATION IRRV CHARITABLE TR,URSTADT CONSERVATION FOUNDATION IRRV CHARITABLE TR,Possible Foundation / Grantmaker,,,,,137154898,"2 PARK PL STE 3, BRONXVILLE, NY 10708-4132",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 85,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
THE MAKS AND LEA ROTHSTEIN CHARITABLE YOUTH TRUST,THE MAKS AND LEA ROTHSTEIN CHARITABLE YOUTH TRUST,Possible Foundation / Grantmaker,,,,,316652819,"244 5TH AVENUE, NEW YORK, NY 10001-7604",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 75,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
AMI YOUTH COMMUNITY FOUNDATION INC,AMI YOUTH COMMUNITY FOUNDATION INC,Possible Foundation / Grantmaker,,,,,842065937,"1350 RALPH AVENUE STE FLR 1, BROOKLYN, NY 11236-3102",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 75,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
HUDSON RIVER FOUNDATION FOR SCIENCE AND ENVIRONMENTAL RESEARCH INC,HUDSON RIVER FOUNDATION FOR SCIENCE AND ENVIRONMENTAL RESEARCH INC,Possible Foundation / Grantmaker,,,,,133089956,"17 BATTERY PL STE 915, NEW YORK, NY 10004-1114",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
YOUTH RESCUE MISSION FOUNDATION,YOUTH RESCUE MISSION FOUNDATION,Possible Foundation / Grantmaker,,,,,823511073,"980 SUTTER AVE, BROOKLYN, NY 11208-3534",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
H O P E FOR YOUTH FOUNDATION INC,H O P E FOR YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,133432640,"PO BOX 8, BUCHANAN, NY 10511-0008",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
FOUNDATION FOR WILDLIFE SUSTAINABILITY INC,FOUNDATION FOR WILDLIFE SUSTAINABILITY INC,Possible Foundation / Grantmaker,,,,,922604131,"PO BOX 301, MANORVILLE, NY 11949-0301",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
CAPISTRAN YOUTH FOUNDATION INC,CAPISTRAN YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,133757996,"1646 FIRST AVENUE 15 B, NEW YORK, NY 10028-0000",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
THE GREATER IRVINGTON LAND CONSERVANCY FOUNDATION INC,THE GREATER IRVINGTON LAND CONSERVANCY FOUNDATION INC,Possible Foundation / Grantmaker,,,,,364594784,"21 ARDSLEY AVE E, IRVINGTON, NY 10533-2601",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
THE WALT FRAZIER YOUTH FOUNDATION INC,THE WALT FRAZIER YOUTH FOUNDATION INC,Possible Foundation / Grantmaker,,,,,133830748,"381 LENOX AVENUE, NEW YORK, NY 10027-2172",,,0,Identified from IRS Business Master File as a possible funder. Manual review needed through ProPublica Nonprofit Explorer and official website. Fit score: 70,Researching,"Review ProPublica filing, confirm grantmaking evidence and find official application guidelines",,,"environment, conservation, sustainability, education, community service, nonprofit support","environmental programs, volunteer service, community improvement, youth education",NY,"project grants, program support, capacity building",unknown,filipevieira,2026-06-20 17:44:06
